المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,الجنسية,الجنس,LESS THAN 15,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80 ABOVE
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,أردني,ذكر,1,93,691,"1,619",722,183,33,10,6,0,0,0,1,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,غير أردني,أنثى,51,370,413,134,16,18,0,7,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الخزنة,غير أردني,ذكر,7,46,328,434,243,58,9,2,7,4,0,3,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,أردني,أنثى,130,"2,401","3,347","1,304",250,67,42,10,3,0,0,4,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,أردني,ذكر,8,200,"1,654","3,208","1,228",253,49,19,2,4,0,1,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,غير أردني,أنثى,68,940,743,265,65,10,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الشمالي,غير أردني,ذكر,0,136,653,"1,040",424,44,34,7,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,أردني,أنثى,47,939,"1,485",603,98,29,21,2,1,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,أردني,ذكر,13,89,659,"1,353",541,88,23,11,6,1,1,1,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,غير أردني,أنثى,64,392,295,110,9,4,3,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,ابو عليا,غير أردني,ذكر,7,86,321,424,158,37,4,3,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,أردني,أنثى,13,272,406,102,24,8,0,0,0,0,0,0,0,2,0
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,أردني,ذكر,0,26,207,327,150,31,7,0,2,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,غير أردني,أنثى,2,46,58,13,0,0,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الفيصل,غير أردني,ذكر,0,5,28,59,10,0,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,أردني,أنثى,4,74,93,41,7,2,1,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,أردني,ذكر,0,14,69,108,28,5,0,0,0,1,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,غير أردني,أنثى,0,7,14,4,5,0,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين رباط,غير أردني,ذكر,0,0,14,21,0,0,0,4,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,أردني,أنثى,14,454,362,120,29,4,0,3,0,0,3,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,أردني,ذكر,2,38,330,335,144,13,12,2,2,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,غير أردني,أنثى,0,78,46,36,0,0,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,عين غزال,غير أردني,ذكر,0,13,40,107,67,7,0,0,0,0,0,0,0,0,0
العاصمة,ماركا,ماركا,طارق,طارق,الشهيد الجنوبي,أردني,أنثى,23,495,670,203,37,7,1,1,0,0,0,0,0,0,0
