"","GOV_CODE","GOV_NAME_AR","LUAA_CODE","LUAA_NAME_AR","DISTRICT_CODE","DISTRICT_NAME_AR","COLLECTION_CODE","COLLECTION_NAME_AR","AREA_CODE","AREA_NAME_AR","QUERTER_CODE","QUERTER_NAME_AR","MALE_JORD","FEMALE_JORD","PER_JORD","FAM_JORD","متوسط حجم الاسرة يحسب كما يلي","MALE_OTH","FEMALE_OTH","PER_OTH","FAM_OTH","MALE_SYR","FEMALE_SYR","PER_SYR","FAM_SYR","MALE_PLST","FEMALE_PLST","PER_PLST","FAM_PLST","MALE_EGPT","FEMALE_EGPT","PER_EGPT","FAM_EGPT","MALE_IRQ","FEMALE_IRQ","PER_IRQ","FAM_IRQ","MALE_EMN","FEMALE_EMN","PER_EMN","FAM_EMN","MALE_LYP","FEMALE_LYP","PER_LYP","FAM_LYP","TOT"
"48","11","العاصمة","1102","ماركا","11021","ماركا","11021114","بسمان","1102111402","بسمان","110211140203","الهاشمي الشمالي",33514,32443,65957,14622,NA,475,809,1284,394,6682,6574,13256,2621,3122,2954,6076,1006,5500,1371,6871,1095,4607,4484,9091,1979,50,42,92,23,12,17,29,3,102656
"49","11","العاصمة","1103","القويسمة","11031","القويسمة","11031013","ام قصير والمقابلين","1103101313","ام قصير والمقابلين والبنيات","110310131304","البنيات الجنوبي",2761,2748,5509,1234,NA,14,143,157,48,164,205,369,79,287,140,427,75,275,52,327,45,61,64,125,46,0,3,3,0,12,6,18,5,6935
"50","11","العاصمة","1101","قصبة عمان","11011","عمان","11011116","بدر","1101111607","بدر","110111160701","الذراع",20412,19291,39703,8357,NA,78,208,286,66,4035,3537,7572,1468,2562,2205,4767,777,4551,1027,5578,917,79,66,145,32,21,12,33,1,6,6,12,5,58096
"51","11","العاصمة","1109","ناعور","11093","حسبان","11093016","كرمة حسبان","1109301601","كرمة حسبان","110930160101","كرمة حسبان",1213,1271,2484,478,NA,0,1,1,0,16,20,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2521
"52","11","العاصمة","1108","الموقر","11081","الموقر","11081017","ام بطمة","1108101701","ام بطمة","110810170101","ام بطمة",1708,1701,3409,660,NA,59,40,99,22,625,495,1120,216,49,14,63,3,220,77,297,37,12,6,18,4,0,0,0,0,0,0,0,0,5006
"53","11","العاصمة","1107","الجيزة","11071","الجيزة","11071011","الجيزة","1107101101","الجيزة","110710110110","ارينبة الغربية",1098,1000,2098,408,NA,597,32,629,9,64,40,104,20,84,91,175,20,197,25,222,34,0,0,0,0,0,0,0,0,0,0,0,0,3228
"54","11","العاصمة","1105","وادي السير","11051","وادي السير","11051028","الدير","1105102801","الدير","110510280101","الدير",1037,966,2003,401,NA,0,0,0,0,32,44,76,16,14,0,14,1,12,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,2105
"55","11","العاصمة","1106","سحاب","11061","سحاب","11061011","سحاب","1106101102","أحد","110610110212","العبدليه",7501,7106,14607,2972,NA,331,179,510,76,1072,1043,2115,368,1036,959,1995,283,1482,247,1729,113,16,27,43,9,0,0,0,0,0,0,0,0,20999
"56","11","العاصمة","1105","وادي السير","11051","وادي السير","11051013","مرج الحمام","1105101301","مرج الحمام","110510130108","الثامن",3422,3366,6788,1661,NA,92,337,429,125,967,855,1822,395,336,238,574,70,950,146,1096,180,140,136,276,70,49,30,79,26,6,0,6,2,11070
"57","11","العاصمة","1106","سحاب","11061","سحاب","11061011","سحاب","1106101101","سحاب","110610110102","الثاني",6517,5984,12501,2521,NA,825,247,1072,243,1591,1665,3256,604,1106,728,1834,250,9514,670,10184,1478,87,63,150,27,847,33,880,185,6,0,6,0,29883
"58","11","العاصمة","1102","ماركا","11021","ماركا","11021013","طارق","1102101310","طارق","110210131006","عين رباط",595,554,1149,217,NA,4,9,13,3,0,0,0,0,119,49,168,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1330
"59","11","العاصمة","1102","ماركا","11021","ماركا","11021111","ماركا","1102111103","ماركا","110211110303","الزهراء",12763,12587,25350,5720,NA,261,360,621,150,3264,3189,6453,1344,2254,1547,3801,658,2453,902,3355,532,1084,1009,2093,427,203,63,266,59,60,6,66,24,42005
"60","11","العاصمة","1105","وادي السير","11051","وادي السير","11051017","البحاث","1105101701","البحاث","110510170101","البحاث",54,45,99,25,NA,22,12,34,7,64,40,104,22,0,0,0,0,152,28,180,38,0,0,0,0,0,0,0,0,0,0,0,0,417
"61","11","العاصمة","1105","وادي السير","11051","وادي السير","11051011","وادي السير","1105101114","وادي السير","110510111404","الرونق",7736,7965,15701,3665,NA,286,741,1027,249,2728,2772,5500,1136,742,742,1484,246,3972,948,4920,814,207,204,411,113,51,49,100,23,10,0,10,5,29153
"62","11","العاصمة","1106","سحاب","11061","سحاب","11061011","سحاب","1106101102","أحد","110610110218","البيضاء",2801,2554,5355,1023,NA,16,20,36,9,125,96,221,48,182,168,350,51,72,18,90,26,11,8,19,5,0,0,0,0,0,0,0,0,6071
"63","11","العاصمة","1106","سحاب","11061","سحاب","11061011","سحاب","1106101102","أحد","110610110214","الخشافية الشمالية",3959,3850,7809,1634,NA,3,9,12,3,126,130,256,67,140,98,238,36,128,59,187,22,12,15,27,6,2,0,2,2,0,0,0,0,8531
"64","11","العاصمة","1104","الجامعة","11041","الجامعة","11041012","صويلح","1104101216","صويلح","110410121609","حدائق الحسين",395,379,774,192,NA,57,413,470,108,0,11,11,4,0,0,0,0,232,0,232,43,42,44,86,17,0,0,0,0,0,0,0,0,1573
"65","11","العاصمة","1105","وادي السير","11051","وادي السير","11051011","وادي السير","1105101114","وادي السير","110510111407","السهل",3279,3428,6707,1818,NA,846,1489,2335,553,358,334,692,179,252,189,441,98,2165,163,2328,468,785,808,1593,457,122,160,282,55,435,342,777,161,15155
"66","11","العاصمة","1104","الجامعة","11041","الجامعة","11041012","صويلح","1104101216","صويلح","110410121601","ميسلون",4095,3909,8004,1778,NA,53,242,295,64,1130,939,2069,396,182,196,378,66,587,80,667,98,6,27,33,7,9,12,21,6,12,12,24,5,11491
"67","11","العاصمة","1107","الجيزة","11071","الجيزة","11071011","الجيزة","1107101101","الجيزة","110710110120","أم قصير",1831,1708,3539,639,NA,85,10,95,0,16,8,24,4,21,49,70,2,209,33,242,8,0,0,0,0,0,0,0,0,0,0,0,0,3970
"68","11","العاصمة","1103","القويسمة","11031","القويسمة","11031012","خريبة السوق وجاوا واليادودة","1103101212","خريبة السوق وجاوة","110310121201","اليادودة",8184,7663,15847,3335,NA,72,130,202,42,888,1006,1894,347,784,728,1512,218,381,225,606,77,27,22,49,8,0,0,0,0,0,6,6,0,20116
"69","11","العاصمة","1103","القويسمة","11031","القويسمة","11031011","القويسمة والجويدة وابو علندا والرجيب","1103101111","القويسمة وابو علندا","110310111102","ابو علندا",7871,7420,15291,3239,NA,55,209,264,58,3582,3426,7008,1327,749,679,1428,217,3572,811,4383,585,172,130,302,71,57,6,63,16,0,5,5,1,28744
"70","11","العاصمة","1102","ماركا","11021","ماركا","11021114","بسمان","1102111402","بسمان","110211140201","القصور",10823,10620,21443,4700,NA,183,267,450,132,3427,2969,6396,1311,2324,1680,4004,647,3207,975,4182,521,59,27,86,32,0,6,6,1,0,0,0,0,36567
