المحافظة,اللواء,القضاء,التجمع السكاني,المنطقة,الحي,أعزب أو عزباء,متزوج او متزوجة,مطلق أو مطلقة ,ارمل او ارملة,منفصل او منفصلة,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,السهل,"4,832","6,683",248,353,28,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الديار,"5,175","8,187",250,384,53,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الظهير,607,616,9,11,1,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الدمينة,194,245,10,15,0,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الكرسي,"3,983","6,575",160,321,13,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,ام اذينة الغربي,"3,076","4,552",146,331,23,,,,,,
العاصمة,وادي السير,وادي السير,وادي السير,وادي السير,الصنوبر,"1,284","1,674",16,57,2,,,,,,
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,الرباحية,822,"1,268",24,50,3,,,,,,
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,ام الاسود,887,"1,325",28,53,1,,,,,,
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,بلال,"1,275","1,619",31,76,4,,,,,,
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,الغروس,"1,128","1,506",14,69,0,,,,,,
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,السويسة,341,507,11,20,0,,,,,,
العاصمة,وادي السير,وادي السير,بدر الجديدة,بدر الجديدة,زبدة,742,847,8,54,0,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الاول,"2,105","2,861",46,131,4,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الثاني,"2,133","2,955",45,134,4,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الثالث,"1,878","2,589",44,64,3,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الرابع,"2,367","3,856",62,191,6,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الخامس,"3,212","4,560",107,303,22,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,السادس,"4,502","6,473",145,337,25,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,السابع,"4,127","6,492",135,300,11,,,,,,
العاصمة,وادي السير,وادي السير,مرج الحمام,مرج الحمام,الثامن,"3,393","4,562",124,236,11,,,,,,
العاصمة,وادي السير,وادي السير,البصة,البصة,البصة,"2,530","3,170",39,117,1,,,,,,
العاصمة,وادي السير,وادي السير,عراق الامير,عراق الامير,عراق الامير,"1,104","1,429",32,69,0,,,,,,
العاصمة,وادي السير,وادي السير,ابو السوس,ابو السوس,ابو السوس,318,250,4,13,0,,,,,,
العاصمة,وادي السير,وادي السير,البحاث,البحاث,البحاث,152,176,3,0,0,,,,,,
العاصمة,وادي السير,وادي السير,الالمانية والقصبات,الالمانية والقصبات,الالمانية والقصبات,517,666,4,29,0,,,,,,
العاصمة,وادي السير,وادي السير,الرجاحة,الرجاحة,الرجاحة,324,433,6,15,0,,,,,,
العاصمة,وادي السير,وادي السير,الثغرة,الثغرة,الثغرة,87,55,0,4,0,,,,,,
العاصمة,وادي السير,وادي السير,الحامدية,الحامدية,الحامدية,236,232,1,7,0,,,,,,
العاصمة,وادي السير,وادي السير,وادي الشتاء,وادي الشتاء,وادي الشتاء,229,210,2,10,0,,,,,,
العاصمة,وادي السير,وادي السير,الطبقة,الطبقة,الطبقة,232,369,19,16,0,,,,,,
العاصمة,وادي السير,وادي السير,الدبة,الدبة,الدبة,186,239,1,1,0,,,,,,
العاصمة,وادي السير,وادي السير,ام نجاصة,ام نجاصة,ام نجاصة,186,320,9,27,0,,,,,,
العاصمة,وادي السير,وادي السير,الفحص,الفحص,الفحص,115,141,1,4,0,,,,,,
العاصمة,وادي السير,وادي السير,النعير,النعير,النعير,521,684,15,31,0,,,,,,
العاصمة,وادي السير,وادي السير,الدير,الدير,الدير,653,761,9,34,0,,,,,,
العاصمة,سحاب,سحاب,سحاب,سحاب,الاول,"10,741","14,817",197,560,14,,,,,,
العاصمة,سحاب,سحاب,سحاب,سحاب,الثاني,"10,738","11,540",180,210,5,,,,,,
العاصمة,سحاب,سحاب,سحاب,سحاب,الثالث,"15,887","23,777",362,821,26,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,العبدليه,"5,750","7,997",120,268,14,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,زملة العليا,31,66,0,0,0,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,الخشافية الشمالية,"2,240","3,254",69,133,9,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,الخشافية الجنوبية,448,699,14,24,0,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,المناخر,489,723,5,13,0,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,قعفور,137,397,0,4,0,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,البيضاء,"1,605","2,252",26,84,1,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,رميدان,123,142,6,0,0,,,,,,
العاصمة,سحاب,سحاب,سحاب,أحد,الماضونة,100,91,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الجيزة,"5,301","5,279",47,82,1,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ام العمد,"1,368","2,182",38,46,2,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,نتل,480,504,10,35,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,اللبن,"2,057","3,177",49,109,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,القسطل,"2,657","3,491",22,109,9,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,منجا,993,"1,251",34,44,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ام الوليد,699,893,7,44,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,حواره,368,519,15,10,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الهرى,1,8,0,0,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,ارينبة الغربية,749,979,5,29,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,جلول,481,778,6,13,2,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الطنيب,575,727,6,44,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,المنارة,150,177,12,12,0,,,,,,
العاصمة,الجيزة,الجيزة,الجيزة,الجيزة,الخضراء,644,973,8,25,0,,,,,,
