محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي, الاعاقة السمعيه و/او النطقيه , الاعاقه الجسديه و /او الحركيه,الاعاقه شلل دماغي,الاعاقه العقليه,الاعاقه البصريه, الاعاقات  المتعدده, الاعاقات  الاخرى, الاعاقات  الغير مبينه
العاصمة,لواء الجامعة,قضاء الجامعة,شفا بدران,شفا بدران,ياجوز,6,2,1,0,2,3,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,البشائر,0,1,1,3,1,4,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحمر,0,0,0,1,0,0,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الحي الشرقي,25,40,17,16,13,16,8,1
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الرحمانية,10,25,3,12,5,8,2,0
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفروسية,0,2,1,0,1,0,0,0
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الفضيلة,18,29,8,20,6,10,5,0
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,الكمالية,31,50,13,64,12,31,2,0
العاصمة,لواء الجامعة,قضاء الجامعة,صويلح,صويلح,ميسلون,6,15,4,4,2,2,3,0
العاصمة,لواء وادي السير,قضاء وادي السير,الالمانية والقصبات,الالمانية والقصبات,الالمانية والقصبات,2,3,0,1,2,2,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,البحاث,البحاث,البحاث,1,0,0,0,0,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,البصة,البصة,البصة,1,5,2,6,1,2,2,0
العاصمة,لواء وادي السير,قضاء وادي السير,الحامدية,الحامدية,الحامدية,2,1,0,0,0,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,الدبة,الدبة,الدبة,2,0,0,0,0,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,الدير,الدير,الدير,2,2,0,2,0,2,3,0
العاصمة,لواء وادي السير,قضاء وادي السير,الرجاحة,الرجاحة,الرجاحة,0,2,0,0,2,1,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,الطبقة,الطبقة,الطبقة,1,1,0,0,0,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,الفحص,الفحص,الفحص,0,0,0,0,1,0,0,0
العاصمة,لواء وادي السير,قضاء وادي السير,النعير ,النعير ,النعير ,0,2,0,0,0,1,1,0
