محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء الموقر,قضاء الموقر,الجناب,الجناب,الجناب,110810250101,238,85,323
العاصمة,لواء الموقر,قضاء الموقر,الحاتمية,الحاتمية,الحاتمية,110810180101,451,360,811
العاصمة,لواء الموقر,قضاء الموقر,الحنيفية,الحنيفية,الحنيفية,110810210101,126,91,217
العاصمة,لواء الموقر,قضاء الموقر,الذهيبة الشرقية,الذهيبة الشرقية,الذهيبة الشرقية,110810150101,1153,1076,2229
العاصمة,لواء الموقر,قضاء الموقر,الزميلات,الزميلات,الزميلات,110810230101,371,248,619
العاصمة,لواء الموقر,قضاء الموقر,الفالج(الرابية),الفالج(الرابية),الفالج(الرابية),110810220101,20,20,40
العاصمة,لواء الموقر,قضاء الموقر,الفيصلية,الفيصلية,الفيصلية,110810130101,2439,2301,4740
العاصمة,لواء الموقر,قضاء الموقر,المطبة (المصطبه),المطبة (المصطبه),المطبة (المصطبه),110810240101,20,0,20
العاصمة,لواء الموقر,قضاء الموقر,المنشية,المنشية,المنشية,110810160101,758,735,1493
العاصمة,لواء الموقر,قضاء الموقر,الموقر,الموقر,الموقر,110810110101,1696,1684,3380
العاصمة,لواء الموقر,قضاء الموقر,النقيرة,النقيرة,النقيرة,110810120101,713,724,1437
العاصمة,لواء الموقر,قضاء الموقر,ام بطمة,ام بطمة,ام بطمة,110810170101,953,897,1850
العاصمة,لواء الموقر,قضاء الموقر,روضة الحسين النموذجية,روضة الحسين النموذجية,روضة الحسين النموذجية,110810200101,4,0,4
العاصمة,لواء الموقر,قضاء الموقر,غزالة,غزالة,غزالة,110810190101,84,65,149
العاصمة,لواء الموقر,قضاء الموقر,مغاير مهنا,مغاير مهنا,مغاير مهنا,110810140101,724,685,1409
العاصمة,لواء الموقر,قضاء رجم الشامي,الذهيبة الغربية,الذهيبة الغربية,الذهيبة الغربية,110820150101,1453,1354,2807
العاصمة,لواء الموقر,قضاء رجم الشامي,الكتيفه,الكتيفه,الكتيفه,110820180101,198,186,384
العاصمة,لواء الموقر,قضاء رجم الشامي,اللسين,اللسين,اللسين,110820160101,170,156,326
العاصمة,لواء الموقر,قضاء رجم الشامي,الماجدية (زباره),الماجدية (زباره),الماجدية (زباره),110820170101,45,35,80
العاصمة,لواء الموقر,قضاء رجم الشامي,الهاشمية,الهاشمية,الهاشمية,110820130101,252,208,460
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الشرقي,رجم الشامي الشرقي,رجم الشامي الشرقي,110820140101,490,470,960
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الغربي,رجم الشامي الغربي,رجم الشامي الغربي,110820110101,2073,1972,4045
العاصمة,لواء الموقر,قضاء رجم الشامي,سالم,سالم,سالم,110820120101,1218,1016,2234
العاصمة,لواء سحاب,قضاء سحاب,البيضاء,البيضاء,البيضاء,110610180101,458,451,909
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الجنوبية,الخشافية الجنوبية,الخشافية الجنوبية,110610150101,368,348,716
العاصمة,لواء سحاب,قضاء سحاب,الخشافية الشمالية,الخشافية الشمالية,الخشافية الشمالية,110610140101,2197,2055,4252
العاصمة,لواء سحاب,قضاء سحاب,العبدليه,العبدليه,العبدليه,110610120101,3352,3184,6536
العاصمة,لواء سحاب,قضاء سحاب,الماضونة,الماضونة,الماضونة,110610200101,134,45,179
العاصمة,لواء سحاب,قضاء سحاب,المناخر,المناخر,المناخر,110610160101,221,215,436
العاصمة,لواء سحاب,قضاء سحاب,رميدان,رميدان,رميدان,110610190101,4,2,6
العاصمة,لواء سحاب,قضاء سحاب,زملة العليا,زملة العليا,زملة العليا,110610130101,46,22,68
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الاول,110610110101,8436,7081,15517
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثالث,110610110103,10998,9903,20901
العاصمة,لواء سحاب,قضاء سحاب,سحاب,سحاب,الثاني,110610110102,4050,3441,7491
