محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,مدني,عسكري,جامعات رسميه,خاص
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,الزهور,4230,1181,98,996
العاصمة,لواء قصبة عمان ,قضاء عمان,راس العين ,راس العين,النظيف,10132,1701,332,1536
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,الرضوان,1427,391,176,2124
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,ام اذينة الشرقي,1096,282,167,1419
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,جبل عمان,4225,1102,214,1681
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,عبدون الجنوبي,895,400,37,896
العاصمة,لواء قصبة عمان ,قضاء عمان,زهران ,زهران,عبدون الشمالي,2315,480,283,2525
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الاميرالحسن,9852,2830,383,2221
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الاميرة عالية,5961,1265,79,1403
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الربوة,7713,2660,181,1319
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,الصالحية,1419,1027,14,404
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,المغيرات,335,237,0,19
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,المنارة,9626,2353,324,1850
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,جبل النصر,5711,1962,163,928
العاصمة,لواء ماركا ,قضاء ماركا ,النصر ,النصر,وادي القطار,17,14,0,17
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الجرن,11853,2921,796,4800
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الرواق,1981,599,75,921
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,القصور,6536,1906,226,1290
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الهاشمي الجنوبي,3416,2326,114,726
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,الهاشمي الشمالي,17961,6159,642,4363
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,جبل النزهة,11042,1923,450,2869
العاصمة,لواء ماركا ,قضاء ماركا ,بسمان ,بسمان,رغدان,7152,2167,385,2410
العاصمة,لواء ماركا ,قضاء ماركا ,طارق ,طارق,ابو عليا,1418,854,164,601
العاصمة,لواء ماركا ,قضاء ماركا ,طارق ,طارق,الخزنة,1640,1236,196,806
العاصمة,لواء ماركا ,قضاء ماركا ,طارق ,طارق,الشهيد,4973,2805,515,1628
العاصمة,لواء ماركا ,قضاء ماركا ,طارق ,طارق,طبربور,6017,2868,564,2625
العاصمة,لواء ماركا ,قضاء ماركا ,ماركا ,ماركا,الزهراء,6466,2814,274,1556
العاصمة,لواء ماركا ,قضاء ماركا ,ماركا ,ماركا,المشيرفة,460,115,11,112
العاصمة,لواء ماركا ,قضاء ماركا ,ماركا ,ماركا,المطار,2844,1358,180,877
العاصمة,لواء ماركا ,قضاء ماركا ,ماركا ,ماركا,حمزة,11633,5352,500,2566
العاصمة,لواء ماركا ,قضاء ماركا ,ماركا ,ماركا,حي جديد,3464,1359,86,473
العاصمة,لواء ناعور,قضاء ام البساتين,السامك,السامك,السامك,739,1190,16,108
العاصمة,لواء ناعور,قضاء ام البساتين,ام البرك,ام البرك,ام البرك,557,409,7,119
العاصمة,لواء ناعور,قضاء ام البساتين,ام البساتين,ام البساتين,ام البساتين,1513,2115,34,211
العاصمة,لواء ناعور,قضاء ام البساتين,ام العساكر,ام العساكر,ام العساكر,192,250,2,52
العاصمة,لواء ناعور,قضاء ام البساتين,ام الكندم,ام الكندم,ام الكندم,291,155,13,195
العاصمة,لواء ناعور,قضاء ام البساتين,ماسوح,ماسوح,ماسوح,35,21,0,0
العاصمة,لواء ناعور,قضاء حسبان,الروضة,الروضة,الروضة,1610,2671,67,270
العاصمة,لواء ناعور,قضاء حسبان,العال,العال,العال,770,1754,27,60
العاصمة,لواء ناعور,قضاء حسبان,المشقر,المشقر,المشقر,908,1793,13,85
العاصمة,لواء ناعور,قضاء حسبان,حسبان,حسبان,حسبان,877,1131,18,110
