محافظه,لواء,قضاء,التجمع السكاني,المنطقة,الحي,gis block code,ذكر,انثى, المجموع
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الابرار,1.1031E+11,185,116,301
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاحسان,1.1031E+11,410,369,779
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الامل,1.1031E+11,7,2,9
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الاندلس,1.1031E+11,3282,3131,6413
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الايمان,1.1031E+11,1613,1423,3036
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي التقوى,1.1031E+11,2428,4499,6927
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الربيع,1.1031E+11,41,25,66
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الصفاء,1.1031E+11,290,161,451
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الفرقان,1.1031E+11,263,224,487
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي المجد,1.1031E+11,37,17,54
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي الهداية,1.1031E+11,23,26,49
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الجنوبي,1.1031E+11,3351,3174,6525
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي جاوا الشمالي,1.1031E+11,4095,3798,7893
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي غمدان,1.1031E+11,1573,1495,3068
العاصمة,لواء القويسمة,قضاء القويسمة,خريبة السوق وجاوا واليادودة,خريبة السوق وجاوة,حي قباء ,1.1031E+11,1476,1357,2833
العاصمة,لواء الموقر,قضاء الموقر,الجناب,الجناب,الجناب,1.1081E+11,238,85,323
العاصمة,لواء الموقر,قضاء الموقر,الحاتمية,الحاتمية,الحاتمية,1.1081E+11,451,360,811
العاصمة,لواء الموقر,قضاء الموقر,الحنيفية,الحنيفية,الحنيفية,1.1081E+11,126,91,217
العاصمة,لواء الموقر,قضاء الموقر,الذهيبة الشرقية,الذهيبة الشرقية,الذهيبة الشرقية,1.1081E+11,1153,1076,2229
العاصمة,لواء الموقر,قضاء الموقر,الزميلات,الزميلات,الزميلات,1.1081E+11,371,248,619
العاصمة,لواء الموقر,قضاء الموقر,الفالج(الرابية),الفالج(الرابية),الفالج(الرابية),1.1081E+11,20,20,40
العاصمة,لواء الموقر,قضاء الموقر,الفيصلية,الفيصلية,الفيصلية,1.1081E+11,2439,2301,4740
العاصمة,لواء الموقر,قضاء الموقر,المطبة (المصطبه),المطبة (المصطبه),المطبة (المصطبه),1.1081E+11,20,0,20
العاصمة,لواء الموقر,قضاء الموقر,المنشية,المنشية,المنشية,1.1081E+11,758,735,1493
العاصمة,لواء الموقر,قضاء الموقر,الموقر,الموقر,الموقر,1.1081E+11,1696,1684,3380
العاصمة,لواء الموقر,قضاء الموقر,النقيرة,النقيرة,النقيرة,1.1081E+11,713,724,1437
العاصمة,لواء الموقر,قضاء الموقر,ام بطمة,ام بطمة,ام بطمة,1.1081E+11,953,897,1850
العاصمة,لواء الموقر,قضاء الموقر,روضة الحسين النموذجية,روضة الحسين النموذجية,روضة الحسين النموذجية,1.1081E+11,4,0,4
العاصمة,لواء الموقر,قضاء الموقر,غزالة,غزالة,غزالة,1.1081E+11,84,65,149
العاصمة,لواء الموقر,قضاء الموقر,مغاير مهنا,مغاير مهنا,مغاير مهنا,1.1081E+11,724,685,1409
العاصمة,لواء الموقر,قضاء رجم الشامي,الذهيبة الغربية,الذهيبة الغربية,الذهيبة الغربية,1.1082E+11,1453,1354,2807
العاصمة,لواء الموقر,قضاء رجم الشامي,الكتيفه,الكتيفه,الكتيفه,1.1082E+11,198,186,384
العاصمة,لواء الموقر,قضاء رجم الشامي,اللسين,اللسين,اللسين,1.1082E+11,170,156,326
العاصمة,لواء الموقر,قضاء رجم الشامي,الماجدية (زباره),الماجدية (زباره),الماجدية (زباره),1.1082E+11,45,35,80
العاصمة,لواء الموقر,قضاء رجم الشامي,الهاشمية,الهاشمية,الهاشمية,1.1082E+11,252,208,460
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الشرقي,رجم الشامي الشرقي,رجم الشامي الشرقي,1.1082E+11,490,470,960
العاصمة,لواء الموقر,قضاء رجم الشامي,رجم الشامي الغربي,رجم الشامي الغربي,رجم الشامي الغربي,1.1082E+11,2073,1972,4045
العاصمة,لواء الموقر,قضاء رجم الشامي,سالم,سالم,سالم,1.1082E+11,1218,1016,2234
